 ,Label,Area,BX,BY,Width,Height,Angle,Length
185,c75(a1-c2)-8.tif:0001-0174-0052:1,0.373,8.644,28.475,0.508,2.034,75.964,2.079
186,c75(a1-c2)-8.tif:0001-0190-0224:1,0.460,37.627,31.017,0.678,2.373,74.055,2.463
187,c75(a1-c2)-8.tif:0001-0701-0073:1,0.488,12.034,117.627,0.678,2.542,-75.069,2.680
188,c75(a1-c2)-8.tif:0001-0978-0390:1,0.230,65.593,165.763,1.186,0.169,-15.945,1.261
189,c75(a1-c2)-8.tif:0001-0667-1177:1,0.488,198.475,112.373,2.203,1.356,31.608,2.630
190,c75(a1-c2)-8.tif:0001-0803-1052:1,0.575,177.797,134.576,1.186,3.051,68.749,3.247
191,c75(a1-c2)-8.tif:0001-0660-0742:1,0.402,125.254,111.017,1.186,1.864,57.529,2.224
192,c75(a1-c2)-8.tif:0001-0582-1179:1,0.546,199.153,97.288,1.525,2.712,63.435,3.078
193,c75(a1-c2)-8.tif:0001-0103-0913:1,0.316,154.576,16.610,0.508,1.695,78.690,1.751
194,c75(a1-c2)-8.tif:0001-0095-0884:1,0.345,149.831,15.254,0.000,1.864,90.000,1.804
195,c75(a1-c2)-8.tif:0001-0111-0883:1,0.373,149.492,17.797,0.339,2.034,80.538,2.058
196,c75(a1-c2)-8.tif:0001-0231-0659:1,0.402,111.186,38.305,1.186,1.864,59.036,2.128
197,c75(a1-c2)-8.tif:0001-0428-0759:1,0.287,128.475,71.864,0.339,1.525,-77.471,1.504
198,c75(a1-c2)-8.tif:0001-0422-0687:1,0.402,115.424,71.186,2.034,0.678,18.435,2.140
199,c75(a1-c2)-8.tif:0001-0211-0064:1,0.460,10.847,34.576,0.000,2.542,90.000,2.481
200,c75(a1-c2)-8.tif:0001-0891-0560:1,0.632,94.915,149.322,0.169,3.559,-87.274,3.616
201,c75(a1-c2)-8.tif:0001-0943-0784:1,0.287,132.542,159.322,0.847,1.186,54.462,1.470
202,c75(a1-c2)-8.tif:0001-0110-0803:1,0.402,136.102,17.627,0.000,2.203,90.000,2.255
203,c75(a1-c2)-8.tif:0001-0938-0531:1,0.460,89.492,157.797,1.186,2.373,63.435,2.623
204,c75(a1-c2)-8.tif:0001-0715-1056:1,0.402,178.814,120.169,0.339,2.203,81.254,2.169
205,c75(a1-c2)-8.tif:0001-0753-1043:1,0.460,176.780,126.441,0.169,2.542,-86.186,2.603
206,c75(a1-c2)-8.tif:0001-0683-1136:1,0.345,192.373,114.915,0.339,1.864,79.695,1.947
207,c75(a1-c2)-8.tif:0001-0662-1136:1,0.373,191.864,111.525,1.525,1.356,-41.634,1.995
208,c75(a1-c2)-8.tif:0001-0707-1145:1,0.316,193.729,119.153,0.847,1.525,68.199,1.765
209,c75(a1-c2)-8.tif:0001-0627-1104:1,0.316,186.610,105.763,1.186,1.186,45.000,1.676
210,c75(a1-c2)-8.tif:0001-0635-0134:1,0.230,22.712,107.119,0.169,1.186,-82.875,1.261
211,c75(a1-c2)-8.tif:0001-0970-0059:1,0.460,9.322,163.390,1.525,2.034,53.130,2.571
212,c75(a1-c2)-9.tif:0002-0249-1306:2,0.431,220.678,41.186,1.356,2.034,-56.310,2.444
213,c75(a1-c2)-9.tif:0002-0262-0837:2,0.431,141.186,43.390,1.356,2.034,56.310,2.444
214,c75(a1-c2)-9.tif:0002-0208-0767:2,0.287,130.000,34.576,0.169,1.525,77.471,1.598
215,c75(a1-c2)-9.tif:0002-0648-0507:2,0.546,85.424,108.475,1.017,2.881,-70.560,3.002
216,c75(a1-c2)-9.tif:0002-0726-0596:2,0.402,100.508,122.034,1.017,2.034,63.435,2.274
217,c75(a1-c2)-9.tif:0002-0610-0797:2,0.345,134.746,102.542,0.678,1.695,-68.199,1.825
218,c75(a1-c2)-9.tif:0002-0615-0824:2,0.402,139.322,103.390,0.847,1.864,61.390,2.123
219,c75(a1-c2)-9.tif:0002-0589-0801:2,0.345,135.593,98.983,0.339,1.864,-100.305,1.839
220,c75(a1-c2)-9.tif:0002-0162-0586:2,0.345,99.153,26.610,0.508,1.864,79.695,1.864
221,c75(a1-c2)-9.tif:0002-0272-0521:2,0.431,88.136,44.915,0.508,2.373,77.905,2.439
222,c75(a1-c2)-9.tif:0002-0292-0519:2,0.316,87.797,48.644,0.339,1.695,101.310,1.728
223,c75(a1-c2)-9.tif:0002-0236-0530:2,0.259,89.661,39.322,0.508,1.356,75.964,1.429
224,c75(a1-c2)-9.tif:0002-0231-0367:2,0.546,62.034,37.627,0.508,3.051,80.538,3.084
225,c75(a1-c2)-9.tif:0002-0954-0588:2,0.460,99.153,160.678,1.017,2.203,65.225,2.478
226,c75(a1-c2)-9.tif:0002-0042-0242:2,0.517,40.847,5.763,0.339,2.881,82.875,2.845
227,c75(a1-c2)-9.tif:0002-0276-0233:2,0.431,38.814,45.932,1.525,1.864,50.711,2.329
228,c75(a1-c2)-9.tif:0002-0373-0068:2,0.488,10.847,62.034,1.356,2.373,60.255,2.733
229,c75(a1-c2)-9.tif:0002-0241-0020:2,0.431,3.220,39.831,0.508,2.203,77.905,2.305
230,c75(a1-c2)-9.tif:0002-0089-0101:2,0.431,16.780,14.068,0.678,2.203,-74.055,2.359
231,c75(a1-c2)-9.tif:0002-0118-0088:2,0.287,14.576,19.492,0.847,1.186,63.435,1.473
232,c75(a1-c2)-9.tif:0002-0077-1207:2,0.316,203.898,12.712,1.525,0.847,33.690,1.725
233,c75(a1-c2)-9.tif:0002-0083-1192:2,0.316,201.525,13.559,1.186,1.186,45.000,1.758
234,c75(a1-c2)-9.tif:0002-0046-1070:2,0.460,180.508,6.949,1.864,1.695,42.274,2.562
235,c75(a1-c2)-9.tif:0002-0164-0741:2,0.575,125.085,26.271,1.017,3.051,71.565,3.216
236,c75(a1-c2)-9.tif:0002-0060-1311:2,0.546,221.186,9.153,2.203,2.203,40.601,3.117
