 ;Label;Area;BX;BY;Width;Height;Angle;Length
214;ms510(a1-c5)-6.tif:0001-0009-0952:1;0.460;160.678;0.508;1.356;2.203;-58.392;2.587
215;ms510(a1-c5)-6.tif:0001-0925-1044:1;0.373;176.102;156.102;1.695;1.356;-38.660;2.105
216;ms510(a1-c5)-6.tif:0001-0709-1020:1;0.316;172.373;119.492;1.017;1.525;-53.130;1.763
217;ms510(a1-c5)-6.tif:0001-0527-0994:1;0.402;167.797;88.475;1.356;1.695;-51.340;2.119
218;ms510(a1-c5)-6.tif:0001-0556-1025:1;0.431;172.542;94.237;2.373;0.169;-4.399;2.294
219;ms510(a1-c5)-6.tif:0001-0623-1252:1;0.287;211.695;105.085;1.017;1.186;-49.399;1.443
220;ms510(a1-c5)-6.tif:0001-0595-1244:1;0.287;210.508;100.169;0.847;1.356;-57.995;1.599
221;ms510(a1-c5)-6.tif:0001-0758-1314:1;0.373;222.203;127.627;1.017;1.864;-65.556;2.084
222;ms510(a1-c5)-6.tif:0001-0559-1256:1;0.316;212.712;93.898;0.339;1.695;-77.471;1.645
223;ms510(a1-c5)-6.tif:0003-0057-1107:3;0.402;186.949;8.814;1.525;1.695;-48.013;2.161
224;ms510(a1-c5)-6.tif:0003-0088-0721:3;0.402;121.186;14.407;2.034;1.017;-28.610;2.198
225;ms510(a1-c5)-6.tif:0003-0105-0577:3;0.460;96.949;16.780;1.695;2.034;-50.711;2.528
226;ms510(a1-c5)-6.tif:0003-0386-0532:3;0.345;89.661;64.576;1.017;1.695;116.565;1.861
227;ms510(a1-c5)-6.tif:0003-0335-0433:3;0.345;72.881;56.102;1.186;1.525;-52.125;1.866
228;ms510(a1-c5)-6.tif:0003-0177-0256:3;0.517;42.881;28.644;1.186;2.712;-66.371;2.849
229;ms510(a1-c5)-6.tif:0003-0249-0641:3;0.259;107.966;42.034;1.356;0.508;-20.556;1.421
230;ms510(a1-c5)-6.tif:0003-0230-0571:3;0.460;96.610;37.797;0.508;2.542;-78.690;2.494
