 ,Label,Area,BX,BY,Width,Height,Angle,Length
154,ms535(a1-5b)-2.tif:0001-0285-0884:1,0.402,149.153,47.627,1.525,1.525,41.634,2.159
155,ms535(a1-5b)-2.tif:0001-0139-1295:1,0.977,217.627,21.695,3.898,3.898,45.000,5.593
156,ms535(a1-5b)-2.tif:0001-0489-0560:1,0.517,94.237,81.695,1.356,2.542,61.928,2.931
157,ms535(a1-5b)-2.tif:0001-0119-1140:1,0.747,191.356,19.153,3.729,2.203,30.579,4.303
158,ms535(a1-5b)-2.tif:0001-0030-0878:1,0.575,147.288,4.576,3.051,1.186,23.962,3.294
159,ms535(a1-5b)-2.tif:0001-0307-0849:1,0.948,141.525,51.017,4.915,2.034,21.801,5.372
160,ms535(a1-5b)-2.tif:0001-0314-0757:1,0.632,126.949,52.203,2.881,2.034,-33.690,3.573
161,ms535(a1-5b)-2.tif:0001-0723-0440:1,0.546,73.220,122.203,2.881,0.847,-16.390,3.074
162,ms535(a1-5b)-2.tif:0001-0615-0454:1,0.689,76.102,102.542,1.864,3.390,-61.189,3.842
163,ms535(a1-5b)-2.tif:0001-0592-0427:1,0.517,71.017,100.000,2.881,0.678,-13.241,2.905
164,ms535(a1-5b)-2.tif:0001-0663-1060:1,0.718,177.966,111.356,3.390,2.203,33.024,4.074
165,ms535(a1-5b)-3.tif:0003-0306-0635:3,0.373,106.780,51.525,1.864,0.847,22.620,2.077
166,ms535(a1-5b)-3.tif:0003-0293-0657:3,0.718,109.661,48.814,3.559,1.864,27.646,4.043
167,ms535(a1-5b)-3.tif:0003-0447-0264:3,0.287,44.237,75.424,1.186,0.847,-35.538,1.473
168,ms535(a1-5b)-3.tif:0003-0441-0239:3,0.287,40.000,74.407,1.186,0.847,-40.601,1.537
169,ms535(a1-5b)-3.tif:0003-0176-0271:3,0.661,44.746,28.644,2.542,2.542,45.000,3.675
170,ms535(a1-5b)-3.tif:0003-0682-0210:3,0.517,34.237,115.593,2.881,0.000,0.000,2.825
171,ms535(a1-5b)-3.tif:0003-0681-0178:3,0.431,28.983,115.424,2.373,0.000,0.000,2.373
172,ms535(a1-5b)-3.tif:0003-0706-0192:3,0.661,30.678,119.661,3.729,0.000,0.000,3.729
173,ms535(a1-5b)-3.tif:0003-0661-0533:3,0.345,89.831,111.356,1.017,1.525,56.310,1.881
174,ms535(a1-5b)-3.tif:0003-0904-0672:3,0.575,112.373,152.881,3.220,0.678,11.889,3.236
175,ms535(a1-5b)-3.tif:0003-0965-0525:3,0.345,88.305,162.881,1.356,1.356,45.000,1.918
176,ms535(a1-5b)-3.tif:0003-0949-0550:3,0.546,92.203,159.661,2.034,2.373,49.399,3.125
177,ms535(a1-5b)-3.tif:0003-0800-0894:3,0.689,151.186,133.729,0.847,3.898,-102.804,3.947
178,ms535(a1-5b)-3.tif:0003-0835-0896:3,0.345,151.864,140.678,0.000,1.864,-90.000,1.921
179,ms535(a1-5b)-3.tif:0003-0669-0904:3,0.862,151.186,112.203,4.237,2.373,29.249,4.906
180,ms535(a1-5b)-3.tif:0003-0672-0851:3,0.661,142.542,113.390,3.559,1.186,18.435,3.717
181,ms535(a1-5b)-3.tif:0003-0112-0294:3,0.402,49.322,18.136,1.017,1.864,63.435,2.173
182,ms535(a1-5b)-3.tif:0003-0243-0236:3,0.402,39.322,40.339,1.525,1.695,51.340,2.243
183,ms535(a1-5b)-3.tif:0003-0409-0274:3,0.373,45.593,69.153,1.864,0.508,-9.462,1.973
184,ms535(a1-5b)-3.tif:0003-0399-0255:3,0.316,42.542,67.288,1.525,0.678,-23.962,1.618
185,ms535(a1-5b)-3.tif:0003-0396-0265:3,0.402,43.898,66.949,2.203,0.508,-17.103,2.220
186,ms535(a1-5b)-3.tif:0003-0486-0547:3,0.632,91.017,82.203,3.559,0.508,-7.765,3.644
187,ms535(a1-5b)-4.tif:0002-0529-0730:2,0.891,121.356,88.644,4.746,2.034,21.448,5.052
188,ms535(a1-5b)-4.tif:0002-0373-0761:2,0.488,127.627,62.712,2.712,1.017,-17.354,2.788
189,ms535(a1-5b)-4.tif:0002-0367-0734:2,0.316,123.559,61.864,1.695,0.678,-16.699,1.716
190,ms535(a1-5b)-4.tif:0002-0439-0820:2,0.373,138.475,73.559,1.186,1.864,61.390,2.093
191,ms535(a1-5b)-4.tif:0002-0019-0385:2,0.287,64.746,2.542,1.017,1.356,53.130,1.576
192,ms535(a1-5b)-4.tif:0002-0009-0395:2,0.230,66.441,1.356,1.186,0.508,23.199,1.260
193,ms535(a1-5b)-4.tif:0002-0178-0232:2,0.259,38.814,29.831,1.186,0.847,-39.806,1.390
194,ms535(a1-5b)-4.tif:0002-0188-0258:2,0.546,42.203,31.864,3.051,0.169,3.366,2.967
195,ms535(a1-5b)-4.tif:0002-0251-0172:2,0.431,28.475,41.525,1.356,2.034,53.973,2.374
196,ms535(a1-5b)-4.tif:0002-0715-0062:2,0.517,9.153,120.678,2.712,1.186,23.629,2.960
197,ms535(a1-5b)-4.tif:0002-0705-0094:2,0.718,14.237,118.475,3.559,2.034,29.745,4.026
198,ms535(a1-5b)-4.tif:0002-0608-0169:2,0.316,27.966,102.712,1.525,0.678,23.962,1.637
199,ms535(a1-5b)-4.tif:0002-0605-0184:2,0.316,30.339,102.373,1.695,0.339,11.310,1.728
200,ms535(a1-5b)-4.tif:0002-0782-0913:2,0.575,153.898,131.186,1.695,2.881,59.534,3.301
201,ms535(a1-5b)-4.tif:0002-0760-0953:2,0.689,159.831,127.966,3.559,1.695,25.463,3.907
202,ms535(a1-5b)-4.tif:0002-0774-0996:2,0.431,167.966,130.508,1.864,1.356,36.027,2.305
203,ms535(a1-5b)-4.tif:0002-0760-1021:2,0.575,171.864,127.797,2.542,2.034,38.660,3.256
204,ms535(a1-5b)-4.tif:0002-0919-0938:2,1.063,157.627,153.051,2.712,5.593,64.134,6.179
205,ms535(a1-5b)-4.tif:0002-0897-0959:2,0.488,162.373,150.678,0.508,2.712,79.380,2.676
206,ms535(a1-5b)-4.tif:0003-0468-1197:3,0.575,201.695,78.305,2.542,2.203,-42.879,3.245
207,ms535(a1-5b)-4.tif:0003-0589-1133:3,0.661,191.186,98.136,1.864,3.390,62.241,3.754
208,ms535(a1-5b)-4.tif:0003-0209-1181:3,0.287,200.169,34.746,0.169,1.525,96.340,1.451
209,ms535(a1-5b)-4.tif:0003-0210-1191:3,0.316,201.356,34.915,1.017,1.525,-56.310,1.763
210,ms535(a1-5b)-4.tif:0003-0052-1020:3,0.460,171.864,7.966,2.034,1.695,36.870,2.528
211,ms535(a1-5b)-4.tif:0003-0071-1088:3,0.373,183.559,11.695,1.864,0.847,24.444,1.971
212,ms535(a1-5b)-4.tif:0003-0079-1091:3,0.287,184.576,12.712,0.678,1.525,71.565,1.558
213,ms535(a1-5b)-4.tif:0003-0088-0956:3,0.632,160.678,13.729,2.712,2.542,43.152,3.597
214,ms535(a1-5b)-5.tif:0001-0497-1097:1,0.632,184.237,83.898,3.390,0.847,16.699,3.508
215,ms535(a1-5b)-5.tif:0001-0481-1137:1,0.747,190.678,81.186,4.068,0.847,11.768,4.167
216,ms535(a1-5b)-5.tif:0001-0505-1177:1,0.402,198.814,84.915,1.525,1.525,41.987,2.159
217,ms535(a1-5b)-5.tif:0001-0392-0996:1,0.373,167.966,65.932,1.695,1.186,34.992,2.037
218,ms535(a1-5b)-5.tif:0001-0364-0906:1,0.517,152.203,61.525,2.881,0.339,6.710,2.957
219,ms535(a1-5b)-5.tif:0001-0345-1091:1,0.575,183.390,58.475,3.220,0.169,3.180,3.166
220,ms535(a1-5b)-5.tif:0001-0504-0860:1,0.488,144.576,84.915,2.373,1.186,26.565,2.679
221,ms535(a1-5b)-5.tif:0001-0344-1063:1,0.373,179.322,57.797,1.695,1.186,34.992,2.102
222,ms535(a1-5b)-5.tif:0001-0260-1006:1,0.575,168.983,43.729,3.220,0.847,14.744,3.290
223,ms535(a1-5b)-5.tif:0001-0264-1058:1,1.063,176.441,44.407,5.932,0.678,6.340,6.027
224,ms535(a1-5b)-5.tif:0001-0268-1093:1,0.488,184.068,45.085,2.542,0.847,18.435,2.752
225,ms535(a1-5b)-5.tif:0001-0264-1128:1,0.488,190.000,44.237,2.542,1.017,21.801,2.686
226,ms535(a1-5b)-5.tif:0001-0386-1275:1,0.632,214.576,64.576,3.051,1.695,29.055,3.490
227,ms535(a1-5b)-5.tif:0001-0386-1312:1,0.431,221.356,65.254,2.203,0.508,12.995,2.305
228,ms535(a1-5b)-5.tif:0001-0269-0873:1,0.460,146.780,45.593,2.542,0.000,0.000,2.599
229,ms535(a1-5b)-5.tif:0001-0302-0752:1,0.373,126.610,50.847,1.864,0.847,-19.983,1.973
230,ms535(a1-5b)-5.tif:0001-0320-0624:1,0.402,104.746,54.237,2.203,0.000,0.000,2.260
231,ms535(a1-5b)-5.tif:0001-0161-0476:1,0.546,79.322,26.780,2.712,1.186,23.629,2.983
232,ms535(a1-5b)-5.tif:0001-0212-0816:1,0.316,137.627,35.593,1.525,0.847,29.055,1.725
233,ms535(a1-5b)-5.tif:0001-0625-0457:1,0.373,76.441,105.763,2.034,0.508,14.036,2.084
234,ms535(a1-5b)-5.tif:0001-0622-0489:1,0.603,81.186,105.254,3.390,0.508,5.711,3.420
235,ms535(a1-5b)-5.tif:0001-0654-0584:1,0.431,97.797,110.847,2.373,0.000,0.000,2.373
236,ms535(a1-5b)-5.tif:0001-0655-0634:1,0.345,106.610,110.847,1.864,0.339,10.305,1.839
237,ms535(a1-5b)-5.tif:0001-0674-0616:1,0.661,102.542,113.898,3.729,0.847,12.804,3.812
238,ms535(a1-5b)-5.tif:0001-0789-1010:1,0.603,169.661,133.559,3.220,0.508,-11.889,3.325
239,ms535(a1-5b)-5.tif:0001-0958-0709:1,0.345,119.322,162.034,1.695,0.847,-26.565,1.921
240,ms535(a1-5b)-5.tif:0001-0979-0748:1,0.287,126.102,165.932,1.525,0.169,0.000,1.473
241,ms535(a1-5b)-5.tif:0001-0619-0501:1,1.379,81.017,104.915,7.966,0.169,1.219,7.913
242,ms535(a1-5b)-5.tif:0001-0552-0706:1,0.632,118.305,92.542,2.712,2.203,-39.094,3.530
243,ms535(a1-5b)-5.tif:0001-0566-0424:1,0.287,71.186,95.932,1.525,0.169,-6.340,1.473
244,ms535(a1-5b)-5.tif:0001-0557-0403:1,0.287,67.627,94.068,1.356,0.678,-26.565,1.516
245,ms535(a1-5b)-5.tif:0001-0468-0458:1,0.373,77.458,78.305,0.339,2.034,80.538,2.062
246,ms535(a1-5b)-5.tif:0001-0450-0459:1,0.460,76.610,76.271,2.542,0.169,7.595,2.496
247,ms535(a1-5b)-5.tif:0001-0390-0497:1,0.460,83.051,66.102,2.542,0.169,3.576,2.601
248,ms535(a1-5b)-5.tif:0001-0652-0183:1,0.460,29.831,110.508,2.542,0.169,3.814,2.488
249,ms535(a1-5b)-5.tif:0001-0665-0195:1,0.546,31.695,112.203,2.881,1.186,23.629,3.042
250,ms535(a1-5b)-5.tif:0001-0161-0476:1,0.747,78.983,26.271,3.559,2.203,31.759,4.205
