2.324	1.784	1.838	3.209	1.529	2.604	2.67	2.308	2.165	2.074	1.496
2.502	1.99	2.38	2.447	2.177	2.604	3.017	3.136	1.709	1.897	1.74
2.338	1.941	2.643	1.941	1.74	1.869	2.972	2.395	2.157	1.584	1.23
1.644	2.213	2.08	2.054	1.838	2.66	2.599	2.017	2.37	1.453	2.472
2.651	1.855	2.162	2.439	2.349	2.15	2.745	1.493	2.862	1.06	1.866
2.213	1.659	2.064	2.745	2.51	2.101	3.199	1.982	1.928	2.561	1.096
2.349	2.347	2.349	1.441	2.213	2.162	3.144	1.633	1.426	2.101	1.261
2.349	1.802	2.548	1.838	1.967	2.101	2.189	1.624	1.124	4.011	2.199
2.404	2.245	2.682	1.784	2.054	1.694	2.856	1.644	1.483	1.483	1.888
2.584	1.486	2.66	2.338	2.165	2.912	2.756	2.067	1.265	1.529	1.369
1.784	1.769	2.291	2.682	3.191	2.561	2.584	1.541	1.656	1.81	1.402
2.851	2.029	2.599	3.788	1.879	2.051	3.365	1.938	1.661	1.583	2.337
2.279	1.74	2.737	2.054	2.601	2.396	2.439	1.867	1.915	1.534	1.486
2.189	1.802	2.959	1.941	2.279	1.802	3.56	1.597	2.38	1.766	1.064
2.12	2.651	2.291	2.279	2.248	2.499	2.054	1.882	1.744	1.486	1.915
2.245	2.162	1.855	3.152	2.51	1.709	1.961	1.709	1.529	1.962	1.949
2.192	2.499	2.624	2.599	2.393	1.499	3.068	3.006	1.534	1.372	1.894
2.417	1.595	2.709	2.782	2.396	2.016	2.579	1.973	1.737	1.425	2.055
1.855	2.502	2.643	2.67	2.016	1.941	2.293	2.616	1.572	1.71	2.199
2.213	2.349	2.239	2.439	2.129	2.631	2.417	2.243	1.652	1.985	1.934
2.499	2.51	2.631	2.67	2.168	2.502	3.239	1.921	1.45	2.314	2.101
1.802	2.129	2.213	2.849	2.507	2.631	3.009	1.882	1.633	2.546	1.694
2.561	2.271	1.934	3.352	3.199	1.211	2.991	1.829	2.101	2.016	1.589
2.815	2.417	1.802	3.239	2.885	2.039	1.99	1.968	1.733	2.26	1.33
2.885	2.682	2.439	2.972	2.921	1.802	3.721	2.058	1.821	2.043	1.147
2.092	2.129	3.058	2.718	2.621	1.91	2.548	1.731	2.127	2.101	1.821
2.815	2.682	2.092	1.802	2.735	1.441	2.53	2.3	1.998	1.534	1.568
2.168	2.523	2.919	2.921	2.141	2.092	2.404	2.347	2.764	2.129	1.106
2.279	2.349	3.788	2.599	2.165	1.941	3.079	2.334	1.479	2.102	1.481
2.248	2.213	2.371	2.876	2.51	1.897	2.709	2.102	1.767	2.268	1.709
2.245	2.38	2.293	2.436	1.713	1.99	2.248	1.921	1.064	2.297	1.975
1.709	2.349	2.349	2.349	2.054	2.051	2.308	1.423	2.141	2.82	1.817
2.682	2.054	3.322	1.529	2.054	1.855	2.46	1.949	2.434	1.605	2.339
2.349	2.668	2.67	2.177	2.404	1.683	2.447	1.686	2.229	2.345	1.835
2.548	2.876	3.16	2.092	2.054	1.55	1.99	2.065	1.881	1.994	1.74
2.189	3.319	2.831	2.856	2.054	1.838	2.571	2.142	1.718	2.245	1.614
2.499	2.447	2.709	1.838	2.282	2.239	2.141	2.301	2.029	1.827	1.71
3.16	2.349	3.028	2.991	2.517	2.142	2.256	2.032	1.429	1.621	1.723
2.162	2.016	2.436	2.69	1.709	2.137	1.967	2.762	1.775	1.576	1.576
1.233	1.941	2.192	1.802	1.941	1.779	2.308	2.157	1.99	2.145	2.058
3.217	2.349	2.682	2.499	2.709	1.285	1.773	2.055	2.46	1.633	1.589
4.241	1.951	2.548	2.447	2.991	1.569	2.248	2.301	1.311	1.978	1.936
2.69	2.262	1.967	2.279	2.735	1.378	2.561	2.032	1.915	2.342	2.117
2.499	2.417	2.415	1.78	2.417	1.762	2.256	1.47	1.377	2.548	1.821
3.225	2.054	2.455	2.054	1.99	2.111	3.241	1.512	1.773	2.181	1.737
1.947	2.12	2.324	2.465	2.279	2.026	3.028	2.111	1.369	1.543	1.52
