 ,Label,Area,Mean,Min,Max,X,Y,Angle,Length
161,Control5.lif - Series004:0013-0188-0680:z:13/28 - Series004,0.423,100.081,69.500,117.875,122.610,33.865,-52.125,2.076
162,Control5.lif - Series004:0021-0468-0956:z:21/28 - Series004,0.260,149.903,96.556,176.111,172.499,84.566,-90.000,1.263
163,Control5.lif - Series004:0021-0479-0958:z:21/28 - Series004,0.260,81.377,68.841,93.571,172.860,86.460,-90.000,1.203
164,Control5.lif - Series004:0021-0667-0890:z:21/28 - Series004,0.325,116.954,75.000,149.383,160.564,120.400,26.565,1.588
165,Control5.lif - Series004:0021-0675-0875:z:21/28 - Series004,0.423,90.164,61.954,112.333,157.888,121.723,34.992,2.135
166,Control5.lif - Series004:0023-0544-0819:z:23/28 - Series004,0.358,113.116,67.667,142.027,147.817,98.094,-5.711,1.865
167,Control5.lif - Series004:0011-0885-0477:z:11/28 - Series004,0.423,89.058,39.500,117.500,85.949,159.542,0.000,2.165
168,Control5.lif - Series004:0011-0943-0474:z:11/28 - Series004,0.390,146.222,81.000,191.983,85.498,170.049,-41.186,1.978
169,Control5.lif - Series004:0011-0936-0462:z:11/28 - Series004,0.423,121.400,68.250,180.750,83.378,168.831,-48.366,2.233
170,Control5.lif - Series004:0011-0744-0425:z:11/28 - Series004,0.293,139.865,98.000,179.703,76.569,134.064,-45.000,1.468
171,Control5.lif - Series004:0011-0884-0462:z:11/28 - Series004,0.390,133.691,68.000,188.033,83.378,159.542,16.699,1.970
172,Control5.lif - Series004:0021-0704-0788:z:21/28 - Series004,0.293,120.050,60.250,146.952,142.158,127.052,-104.036,1.521
173,Control5.lif - Series004:0021-0716-0788:z:21/28 - Series004,0.325,106.575,74.750,134.125,142.181,129.239,-90.000,1.536
174,Control5.lif - Series001:0017-0201-0184:z:17/29 - Series001,0.521,78.619,37.000,100.772,33.212,36.323,-7.595,2.760
175,Control5.lif - Series001:0017-0210-0288:z:17/29 - Series001,0.716,84.198,40.750,130.944,52.061,37.879,-8.130,3.796
176,Control5.lif - Series001:0017-0219-0321:z:17/29 - Series001,0.618,66.130,43.665,98.424,57.810,39.615,-15.524,3.271
177,Control5.lif - Series001:0017-0168-0634:z:17/29 - Series001,0.423,104.450,45.778,151.743,114.328,30.333,15.255,2.173
178,Control5.lif - Series001:0017-0174-0617:z:17/29 - Series001,0.488,90.783,48.393,132.638,111.382,31.475,17.103,2.472
179,Control5.lif - Series001:0024-0268-0593:z:24/29 - Series001,0.358,45.840,27.333,59.533,106.993,48.401,0.000,1.748
180,Control5.lif - Series001:0024-0268-0578:z:24/29 - Series001,0.358,66.145,21.000,93.800,104.257,48.431,-5.711,1.813
181,Control5.lif - Series001:0014-0188-0620:z:14/29 - Series001,0.390,36.828,14.333,59.769,111.803,34.001,10.305,1.911
182,Control5.lif - Series001:0014-0191-0602:z:14/29 - Series001,0.358,62.262,29.667,90.167,108.556,34.632,18.435,1.844
183,Control5.lif - Series001:0013-0119-0332:z:13/29 - Series001,0.846,72.637,19.547,136.227,59.975,21.405,4.574,4.524
184,Control5.lif - Series001:0013-0115-0362:z:13/29 - Series001,0.683,96.759,30.750,195.750,65.266,20.743,22.834,3.608
185,Control5.lif - Series001:0015-0582-0199:z:15/29 - Series001,0.423,87.403,31.000,118.198,36.015,105.099,52.125,2.141
