 ,Label,Area,Mean,Min,Max,X,Y,Angle,Length
169,Slice4-2doses-final.lif - Series002:0019-0885-0676:z:19/29 - Series002,0.586,87.529,28.529,144.544,121.934,159.542,28.072,3.066
170,Slice4-2doses-final.lif - Series002:0026-0340-0864:z:26/29 - Series002,0.195,133.833,110.000,165.000,156.085,61.297,0.000,0.000
171,Slice4-2doses-final.lif - Series002:0024-0582-0872:z:24/29 - Series002,0.618,70.244,45.500,90.343,157.242,105.069,59.036,3.203
172,Slice4-2doses-final.lif - Series002:0024-0599-0862:z:24/29 - Series002,0.423,61.093,39.500,79.562,155.393,108.090,45.000,2.105
173,Slice4-2doses-final.lif - Series002:0024-0593-0715:z:24/29 - Series002,0.586,96.657,66.713,127.801,128.968,106.917,52.431,3.030
174,Slice4-2doses-final.lif - Series002:0024-0579-0735:z:24/29 - Series002,0.651,103.154,59.500,133.957,132.486,104.437,32.005,3.403
175,Slice4-2doses-final.lif - Series002:0024-0509-0859:z:24/29 - Series002,0.846,130.490,42.249,224.000,154.897,91.676,69.444,4.572
176,Slice4-2doses-final.lif - Series002:0024-0486-0873:z:24/29 - Series002,0.651,56.747,35.259,80.500,157.422,87.617,67.620,3.434
177,Slice4-2doses-final.lif - Series002:0029-0329-0881:z:29/29 - Series002,0.553,125.106,76.375,158.500,158.820,59.434,42.510,2.936
178,Slice4-2doses-final.lif - Series002:0001-0870-0183:z:1/29 - Series002,0.781,120.399,49.377,222.382,32.964,156.836,50.194,4.169
179,Slice4-2doses-final.lif - Series002:0012-0808-0366:z:12/29 - Series002,0.586,89.863,41.000,114.292,65.927,145.608,45.000,2.998
180,Slice4-2doses-final.lif - Series002:0012-0819-0352:z:12/29 - Series002,0.488,70.393,48.500,94.474,63.582,147.637,36.027,2.453
181,Slice4-2doses-final.lif - Series002:0011-0493-0739:z:11/29 - Series002,0.553,127.965,56.000,210.656,133.252,88.880,78.690,2.866
182,Slice4-2doses-final.lif - Series002:0019-0436-0765:z:19/29 - Series002,0.846,85.790,51.000,127.780,137.942,78.508,13.496,4.529
183,Slice4-2doses-final.lif - Series002:0019-0445-0738:z:19/29 - Series002,0.748,119.628,65.000,177.659,133.117,80.222,50.528,3.903
184,Slice4-2doses-final.lif - Series002:0019-0464-0989:z:19/29 - Series002,0.521,128.881,43.500,188.700,178.391,83.694,47.726,2.681
185,Slice4-2doses-final.lif - Series002:0019-0454-1003:z:19/29 - Series002,0.455,154.623,69.000,200.686,180.916,81.845,41.987,2.367
186,Slice4-2doses-final.lif - Series002:0019-0545-0665:z:19/29 - Series002,0.586,103.217,68.000,124.362,120.040,98.169,42.709,3.131
187,Slice4-2doses-final.lif - Series002:0019-0537-0684:z:19/29 - Series002,0.455,58.845,42.000,71.277,123.286,96.771,38.660,2.310
