 ,Label,Area,Mean,Min,Max,X,Y,Angle,Length
45,Slice1-2doses.lif - Series005:0013-0434-0172:z:13/32 - Series005,0.651,134.758,61.640,223.000,31.115,78.373,-53.746,3.355
46,Slice1-2doses.lif - Series005:0013-0451-0193:z:13/32 - Series005,0.683,105.802,26.000,134.000,34.812,81.349,-53.130,3.608
47,Slice1-2doses.lif - Series005:0013-0453-0163:z:13/32 - Series005,0.455,74.767,38.888,162.000,29.401,81.710,-38.660,2.310
48,Slice1-2doses.lif - Series005:0023-0359-0736:z:23/32 - Series005,0.423,116.885,21.000,190.500,132.756,64.845,-14.036,2.231
49,Slice1-2doses.lif - Series005:0023-0372-0755:z:23/32 - Series005,0.683,158.443,52.000,242.240,136.183,67.100,-23.962,3.553
50,Slice1-2doses.lif - Series005:0032-0405-0140:z:32/32 - Series005,0.878,140.192,49.000,174.722,25.253,73.142,-46.548,4.721
51,Slice1-2doses.lif - Series004:0001-0136-0153:z:1/28 - Series004,0.716,217.091,87.000,255.000,27.597,24.531,0.000,3.788
52,Slice1-2doses.lif - Series004:0001-0137-0129:z:1/28 - Series004,0.748,156.315,28.500,226.375,23.223,24.802,-2.726,3.882
53,Slice1-2doses.lif - Series004:0005-0219-0159:z:5/28 - Series004,0.813,62.750,29.500,117.625,28.680,39.592,-2.386,4.333
54,Slice1-2doses.lif - Series004:0005-0218-0130:z:5/28 - Series004,0.618,88.311,39.333,182.667,23.449,39.187,6.340,3.258
55,Slice1-2doses.lif - Series004:0005-0298-0136:z:5/28 - Series004,0.521,100.296,25.000,152.480,24.576,53.752,-8.130,2.640
56,Slice1-2doses.lif - Series004:0005-0299-0158:z:5/28 - Series004,0.748,140.741,44.750,225.085,28.454,53.887,2.726,3.879
57,Slice1-2doses.lif - Series004:0005-0406-0146:z:5/28 - Series004,0.716,177.423,52.000,255.000,26.380,73.097,-5.711,3.708
58,Slice1-2doses.lif - Series004:0005-0446-0320:z:5/28 - Series004,0.716,163.844,100.500,252.071,57.810,80.357,10.784,3.856
59,Slice1-2doses.lif - Series004:0005-0447-0348:z:5/28 - Series004,0.553,162.105,53.750,245.312,62.680,80.492,7.125,2.899
60,Slice1-2doses.lif - Series004:0005-0315-0298:z:5/28 - Series004,0.488,126.956,34.000,233.449,53.842,56.683,24.775,2.546
61,Slice1-2doses.lif - Series004:0005-0311-0317:z:5/28 - Series004,0.455,139.469,68.000,183.315,57.134,56.052,12.995,2.341
62,Slice1-2doses.lif - Series004:0005-0436-0300:z:5/28 - Series004,0.553,177.667,86.750,255.000,54.067,78.598,-25.017,2.866
63,Slice1-2doses.lif - Series004:0011-0343-0203:z:11/28 - Series004,0.683,144.643,55.000,221.400,36.616,61.869,-5.711,3.625
64,Slice1-2doses.lif - Series004:0011-0337-0226:z:11/28 - Series004,0.618,197.132,35.500,255.000,40.675,60.696,6.340,3.267
65,Slice1-2doses.lif - Series004:0011-0339-0182:z:11/28 - Series004,0.618,191.303,112.000,240.753,32.693,61.147,6.340,3.177
66,Slice1-2doses.lif - Series004:0011-0332-0326:z:11/28 - Series004,0.618,180.642,94.000,255.000,58.802,59.749,12.529,3.308
67,Slice1-2doses.lif - Series004:0011-0327-0352:z:11/28 - Series004,0.586,208.833,140.500,255.000,63.492,58.983,0.000,3.066
68,Slice1-2doses.lif - Series004:0011-0436-0131:z:11/28 - Series004,0.618,170.990,99.500,228.728,23.494,78.689,-6.340,3.189
69,Slice1-2doses.lif - Series004:0011-0334-0251:z:11/28 - Series004,0.716,178.395,70.000,255.000,45.319,60.290,5.711,3.725
70,Slice1-2doses.lif - Series004:0011-0448-0140:z:11/28 - Series004,0.521,163.998,40.000,193.693,25.117,80.898,-26.565,2.743
71,Slice1-2doses.lif - Series004:0011-0393-0173:z:11/28 - Series004,0.455,131.746,94.750,167.564,31.160,70.752,-8.746,2.271
72,Slice1-2doses.lif - Series004:0016-0374-0170:z:16/28 - Series004,0.781,169.706,56.500,232.293,30.709,67.415,-2.603,4.067
73,Slice1-2doses.lif - Series004:0016-0372-0144:z:16/28 - Series004,0.553,159.007,51.000,240.781,25.974,67.054,3.576,2.899
74,Slice1-2doses.lif - Series004:0016-0379-0151:z:16/28 - Series004,0.455,135.396,67.500,202.038,27.237,68.452,4.399,2.352
75,Slice1-2doses.lif - Series004:0016-0383-0169:z:16/28 - Series004,0.488,136.518,78.000,157.107,30.348,68.994,0.000,2.435
76,Slice1-2doses.lif - Series004:0023-0251-0304:z:23/28 - Series004,0.976,156.109,66.000,220.215,54.789,45.319,7.853,5.204
77,Slice1-2doses.lif - Series004:0023-0247-0276:z:23/28 - Series004,0.781,197.903,89.500,254.894,49.693,44.643,-12.804,4.069
78,Slice1-2doses.lif - Series004:0022-0559-0505:z:22/28 - Series004,0.716,215.250,112.000,252.015,91.135,100.830,-39.094,3.789
79,Slice1-2doses.lif - Series004:0022-0549-0487:z:22/28 - Series004,0.521,212.439,125.000,255.000,87.753,98.981,-36.870,2.761
80,Slice1-2doses.lif - Series004:0022-0751-0253:z:22/28 - Series004,0.683,142.599,106.000,164.266,45.500,135.326,-11.310,3.574
81,Slice1-2doses.lif - Series004:0022-0748-0226:z:22/28 - Series004,0.455,194.530,112.500,220.083,40.720,135.011,-4.399,2.262
82,Slice1-2doses.lif - Series004:0014-0533-0506:z:14/28 - Series004,0.586,194.402,82.250,255.000,91.270,96.095,-25.017,3.025
83,Slice1-2doses.lif - Series004:0014-0527-0484:z:14/28 - Series004,0.553,212.976,89.000,255.000,87.302,95.013,-3.576,2.899
84,Slice1-2doses.lif - Series004:0001-0037-0567:z:1/28 - Series004,0.618,222.424,127.222,255.000,102.363,6.734,35.538,3.223
85,Slice1-2doses.lif - Series004:0001-0030-0589:z:1/28 - Series004,0.683,166.329,117.000,204.708,106.271,5.501,23.962,3.632
86,Slice1-2doses.lif - Series004:0025-0652-0275:z:25/28 - Series004,0.748,178.617,104.500,236.068,49.558,117.650,-20.854,4.003
87,Slice1-2doses.lif - Series004:0025-0645-0294:z:25/28 - Series004,0.651,172.804,69.500,237.046,53.075,116.342,-9.462,3.381
88,Slice1-2doses.lif - Series004:0025-0640-0275:z:25/28 - Series004,0.488,182.902,97.250,235.490,49.648,115.395,-22.620,2.463
89,Slice1-2doses.lif - Series004:0025-0641-0253:z:25/28 - Series004,0.553,192.679,96.689,254.625,45.590,115.575,-25.017,2.866
90,Slice1-2doses.lif - Series004:0025-0690-0313:z:25/28 - Series004,0.423,152.504,86.000,229.778,56.457,124.504,30.964,2.151
91,Slice1-2doses.lif - Series004:0025-0702-0330:z:25/28 - Series004,0.553,50.654,20.750,133.000,59.434,126.623,7.125,2.908
92,Slice1-2doses.lif - Series004:0025-0686-0331:z:25/28 - Series004,0.521,161.283,106.000,192.500,59.569,123.737,23.199,2.665
93,Slice1-2doses.lif - Series004:0021-0770-0089:z:21/28 - Series004,0.488,164.772,137.000,178.000,16.008,138.844,-21.038,2.567
94,Slice1-2doses.lif - Series004:0021-0776-0106:z:21/28 - Series004,0.390,139.987,56.000,189.000,19.165,140.016,-36.870,1.930
95,Slice1-2doses.lif - Series004:0022-0529-0323:z:22/28 - Series004,0.683,178.985,115.500,252.400,58.171,95.509,8.531,3.648
96,Slice1-2doses.lif - Series004:0022-0511-0275:z:22/28 - Series004,0.651,102.502,64.643,148.069,49.513,92.217,12.529,3.347
97,Slice1-2doses.lif - Series004:0022-0450-0461:z:22/28 - Series004,0.716,138.533,85.000,190.486,83.108,81.079,10.784,3.767
98,Slice1-2doses.lif - Series004:0022-0315-0392:z:22/28 - Series004,0.976,70.336,22.322,212.790,70.707,56.908,17.819,5.305
99,Slice1-2doses.lif - Series004:0022-0386-0222:z:22/28 - Series004,0.423,134.558,99.000,180.500,40.043,69.715,-14.036,2.231
100,Slice1-2doses.lif - Series004:0022-0512-0250:z:22/28 - Series004,0.423,128.627,90.750,163.667,45.049,92.352,-5.194,2.082
101,Slice1-2doses.lif - Series003:0001-0184-0293:z:1/27 - Series003,1.432,174.268,63.112,255.000,52.850,33.099,33.690,7.804
102,Slice1-2doses.lif - Series003:0009-0200-0307:z:9/27 - Series003,0.878,168.440,49.250,255.000,55.375,36.075,29.476,4.765
103,Slice1-2doses.lif - Series003:0021-0765-0153:z:21/27 - Series003,0.781,121.616,53.667,220.419,27.688,138.047,10.305,4.073
104,Slice1-2doses.lif - Series003:0021-0773-0040:z:21/27 - Series003,0.586,148.259,63.333,201.437,7.335,139.520,6.710,3.036
105,Slice1-2doses.lif - Series003:0021-0773-0020:z:21/27 - Series003,0.423,113.989,77.667,139.074,3.698,139.490,0.000,2.225
106,Slice1-2doses.lif - Series003:0021-0827-0176:z:21/27 - Series003,0.521,126.908,75.000,158.098,31.746,149.230,7.595,2.689
107,Slice1-2doses.lif - Series003:0021-0823-0198:z:21/27 - Series003,0.781,194.513,102.333,253.435,35.835,148.509,0.000,4.090
108,Slice1-2doses.lif - Series003:0021-0621-0154:z:21/27 - Series003,0.586,182.607,71.111,255.000,27.928,112.193,-3.366,3.076
109,Slice1-2doses.lif - Series003:0021-0621-0132:z:21/27 - Series003,0.716,180.812,76.000,255.000,23.930,112.073,5.440,3.856
110,Slice1-2doses.lif - Series003:0021-0478-0274:z:21/27 - Series003,0.651,135.224,69.000,184.071,49.483,86.249,21.251,3.372
111,Slice1-2doses.lif - Series003:0021-0388-0970:z:21/27 - Series003,0.586,162.696,67.333,226.631,175.144,69.956,3.366,3.141
112,Slice1-2doses.lif - Series003:0021-0391-0950:z:21/27 - Series003,0.455,129.907,55.333,190.795,171.507,70.617,12.995,2.407
113,Slice1-2doses.lif - Series003:0021-0474-0870:z:21/27 - Series003,0.390,133.450,87.667,196.889,156.956,85.678,5.194,1.999
114,Slice1-2doses.lif - Series003:0021-0477-0853:z:21/27 - Series003,0.488,180.644,52.000,250.984,153.920,86.039,12.095,2.571
115,Slice1-2doses.lif - Series003:0023-0425-0929:z:23/27 - Series003,0.651,153.470,77.667,234.915,167.659,76.840,9.462,3.361
116,Slice1-2doses.lif - Series003:0023-0420-0953:z:23/27 - Series003,0.553,148.476,36.000,245.500,171.958,75.878,17.354,2.928
117,Slice1-2doses.lif - Series003:0013-0458-0816:z:13/27 - Series003,0.683,200.543,101.889,255.000,147.276,82.612,-2.862,3.670
118,Slice1-2doses.lif - Series003:0013-0458-0796:z:13/27 - Series003,0.488,166.477,64.000,229.020,143.609,82.582,4.086,2.586
119,Slice1-2doses.lif - Series003:0013-0286-0741:z:13/27 - Series003,0.846,140.641,85.756,213.067,133.808,51.557,2.291,4.519
120,Slice1-2doses.lif - Series003:0013-0282-0776:z:13/27 - Series003,0.846,111.978,52.111,209.988,140.031,50.866,7.125,4.475
121,Slice1-2doses.lif - Series003:0013-0351-0633:z:13/27 - Series003,0.651,216.264,99.333,255.000,114.238,63.372,-6.340,3.376
122,Slice1-2doses.lif - Series003:0013-0348-0657:z:13/27 - Series003,0.683,200.788,76.953,255.000,118.446,62.801,23.962,3.529
