 ,Label,Area,Mean,Min,Max,X,Y,Angle,Length
128,Control6.lif - Series002:0007-0755-0667:z:7/19 - Series002,0.694,214.034,141.500,255.000,160.414,181.698,74.745,2.742
129,Control6.lif - Series002:0011-0647-0659:z:11/19 - Series002,0.925,223.879,121.250,255.000,158.369,155.664,90.000,3.487
130,Control6.lif - Series002:0011-0665-0661:z:11/19 - Series002,0.752,115.410,58.000,195.000,159.031,159.812,90.000,2.889
131,Control6.lif - Series002:0011-0280-0267:z:11/19 - Series002,0.694,215.564,102.500,255.000,64.093,67.460,79.695,2.689
132,Control6.lif - Series002:0011-0296-0263:z:11/19 - Series002,0.810,218.948,68.500,255.000,63.191,71.188,85.601,3.147
133,Control6.lif - Series002:0001-0456-0381:z:1/19 - Series002,0.868,229.649,171.500,255.000,91.631,109.488,70.346,3.462
134,Control6.lif - Series002:0001-0414-0460:z:1/19 - Series002,0.578,181.414,128.000,221.840,110.690,99.627,90.000,2.048
135,Control6.lif - Series002:0001-0431-0458:z:1/19 - Series002,0.694,240.506,204.000,255.000,110.269,103.595,74.745,2.626
136,Control6.lif - Series002:0001-0452-0456:z:1/19 - Series002,0.983,184.264,119.103,255.000,109.488,108.526,69.444,3.955
137,Control6.lif - Series002:0001-0484-0447:z:1/19 - Series002,1.215,177.024,82.550,254.000,107.443,116.402,-87.138,4.824
138,Control6.lif - Series002:0001-0669-0281:z:1/19 - Series002,0.752,140.375,105.000,181.694,67.641,160.714,80.538,2.830
139,Control6.lif - Series002:0001-0646-0280:z:1/19 - Series002,0.810,124.466,81.000,159.204,67.340,155.423,67.380,3.238
140,Control6.lif - Series002:0014-0769-0468:z:14/19 - Series002,0.925,203.244,132.200,255.000,112.674,185.005,-53.130,3.704
141,Control6.lif - Series002:0014-0785-0478:z:14/19 - Series002,0.636,113.028,47.000,170.350,114.899,188.733,-71.565,2.363
142,Control6.lif - Series002:0012-0645-0642:z:12/19 - Series002,1.041,187.575,107.000,242.952,154.521,155.243,115.017,3.981
