 ,Label,Area,Mean,Min,Max,X,Y,Angle,Length
190,Slice3-3doses.lif - Series003:0015-0595-0925:z:15/58 - Series003,0.586,202.849,127.778,251.452,167.027,107.383,-37.569,3.080
191,Slice3-3doses.lif - Series003:0015-0918-0812:z:15/58 - Series003,0.651,218.252,106.333,255.000,146.525,165.524,-113.962,3.506
192,Slice3-3doses.lif - Series003:0015-0960-0695:z:15/58 - Series003,0.455,205.459,27.000,255.000,125.481,173.220,-17.103,2.363
193,Slice3-3doses.lif - Series003:0015-0961-0835:z:15/58 - Series003,0.553,148.244,81.000,201.333,150.613,173.401,-50.194,2.818
194,Slice3-3doses.lif - Series003:0019-0776-0866:z:19/58 - Series003,0.716,152.378,77.674,204.695,156.325,140.031,-65.772,3.872
195,Slice3-3doses.lif - Series003:0019-0764-0897:z:19/58 - Series003,0.944,197.184,115.592,255.000,161.797,137.927,-62.526,5.109
196,Slice3-3doses.lif - Series003:0040-0970-0829:z:40/58 - Series003,0.553,168.864,97.000,228.804,149.651,174.904,37.569,2.911
197,Slice3-3doses.lif - Series003:0040-0327-0612:z:40/58 - Series003,0.748,214.730,146.642,255.000,110.450,59.163,-43.152,3.997
198,Slice3-3doses.lif - Series003:0040-0752-0727:z:40/58 - Series003,0.455,232.150,169.889,254.803,131.313,135.582,-28.610,2.313
199,Slice3-3doses.lif - Series003:0040-0630-0122:z:40/58 - Series003,0.553,191.342,120.000,245.767,21.946,113.636,-52.431,2.911
200,Slice3-3doses.lif - Series003:0040-0620-0124:z:40/58 - Series003,0.455,175.764,71.111,255.000,22.306,111.953,-61.390,2.313
